1 8 0 33 6 30 7 00
2 , 0 40 6 30 7 07
3 , 1 12 6 30 8 02
4 , 23 55 6 30 6 35
5 , 1 30 7 55 7 55
6 , 23 30 7 55 7 55
7 , 23 58 6 30 6 50
8 , 0 31 6 30 7 41
9 , 0 30 6 30 7 40
10 , 0 00 6 30 9 15
11 , 23 30 6 30 8 30
12 , 5 0 0 12 00 12 00
13 , 2 00 7 45 7 45
14 , 0 20 6 30 8 20
15 , 23 20 6 30 7 45
16 , 0 45 6 30 7 40
17 , 1 35 6 30 6 30
18 , 23 30 6 30 8 30
19 , 4 25 11 38 11 38
20 , 0 15 8 30 8 30
21 , 22 30 6 30 6 30
22 , 23 30 6 30 6 30
23 , 0 0 6 30 7 30 
24 , 0 20 6 30 7 00
25 , 0 00 6 30 7 50
26 , 4 30 9 30 9 30
27 , 3 30 9 30 9 30
28 , 23 30 6 30 7 00
29 , 0 00 6 30 8 00
30 , 23 30 6 30 6 30
31 , 2 30 8 00 8 00
1 9 0 0 6 30 7 00
2 , 0 30 7 00 7 00
